alpha,n_estimators,max_features,max_samples,weighted,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
0.0001,400.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.492035,0.520105,0.520105,0.554562,0.538826,0.538826,633243106319113.5,641526909518978.0,641526909518978.0,65.48,19260817.0,-1.0,0.513605,0.575472,0.575472
100.0,400.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,262178757054.7061,262208107736.0108,262208107736.0108,61.03,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.85,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,1211011968255.917,1211147539980.8574,1211147539980.8574,78.48,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,400.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.502168,0.528379,0.528379,0.549003,0.53416,0.53416,730447392095784.2,747743696350740.6,747743696350740.6,1671.39,19260817.0,-1.0,0.531293,0.572327,0.572327
100.0,400.0,0.4,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,237826637804.25308,237853262287.22165,237853262287.22165,66.71,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,158916973577.30005,158934764192.7479,158934764192.7479,13.11,19260817.0,-1.0,0.235374,0.21174,0.21174
0.0001,25.0,0.85,0.4,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.500398,0.526701,0.526701,0.549978,0.53511,0.53511,725512091209200.1,745928980237138.5,745928980237138.5,181.11,19260817.0,-1.0,0.531973,0.56499,0.56499
100.0,400.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,237826637804.25308,237853262287.22165,237853262287.22165,72.57,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,400.0,0.85,0.85,0.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,237826637804.25308,237853262287.22165,237853262287.22165,90.99,19260817.0,-1.0,0.235374,0.21174,0.21174
100.0,25.0,0.4,0.4,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-2e-06,-2e-06,-2e-06,0.778097,0.777814,0.777814,4233977792054.239,4234451782144.9,4234451782144.9,9.06,19260817.0,-1.0,0.235374,0.21174,0.21174
